register,Tue Apr 27 17:06:49 EEST 2021
search product,Tue Apr 27 17:06:54 EEST 2021
add product to cart,Tue Apr 27 17:06:59 EEST 2021
view cart,Tue Apr 27 17:07:02 EEST 2021
send order,Tue Apr 27 17:07:08 EEST 2021
register,Tue Apr 27 17:07:26 EEST 2021
view establishments,Tue Apr 27 17:07:31 EEST 2021
register,Tue Apr 27 21:03:45 EEST 2021
view establishments,Tue Apr 27 21:03:50 EEST 2021
view establishment stock,Tue Apr 27 21:04:04 EEST 2021
register,Tue Apr 27 21:15:21 EEST 2021
view establishments,Tue Apr 27 21:15:30 EEST 2021
view establishment stock,Tue Apr 27 21:15:36 EEST 2021
